library_id	library_group
ERR1137407	core
ERR1137408	core
ERR1137409	core
ERR1137410	core
ERR1137411	core
ERR1137412	core
ERR1137413	core
ERR1137414	core
ERR1137415	core
ERR1137416	core
ERR1137417	core
ERR1137418	core
ERR1137419	core
ERR1137420	core
ERR1137421	core
ERR1137422	core
ERR1137423	core
ERR1137424	core
ERR1137425	core
ERR1137426	core
ERR1137427	core
ERR1137428	core
ERR1137429	core
ERR1137430	core
ERR1137431	core
ERR1137432	core
ERR1137433	core
ERR1137434	core
ERR1137435	core
ERR1137436	core
ERR1137437	core
ERR1137438	core
ERR1137439	core
ERR1137440	core
ERR1137441	core
ERR1137442	core
ERR1137443	core
ERR1137444	core
ERR1137445	core
ERR1137446	core
ERR1137447	core
ERR1137448	core
ERR1137449	core
ERR1137450	core
ERR1137451	core
ERR1137452	core
ERR1137453	core
ERR1137454	core
ERR1137455	core
ERR1137456	core
ERR1137457	core
ERR1137458	core
ERR1137459	core
ERR1137460	core
ERR1137461	core
ERR1137462	core
ERR1137463	core
ERR1137464	core
ERR1137465	core
ERR1137466	core
ERR1137467	core
ERR1137468	core
ERR1137469	core
ERR1137470	core
ERR1137471	core
ERR1137472	core
ERR1137473	core
ERR1137474	core
ERR1137475	core
ERR1137476	core
ERR1137477	core
ERR1137478	core
ERR1137479	core
ERR1137480	core
ERR1137481	core
ERR1137482	core
ERR1137483	core
ERR1137484	core
ERR1137485	core
ERR1137486	core
ERR1137487	core
ERR1137488	core
ERR1137489	core
ERR1137490	core
ERR1137491	core
ERR1137492	core
ERR1137493	core
ERR1137494	core
ERR1137495	core
ERR1137496	core
ERR1137497	core
ERR1137498	core
ERR1137499	core
ERR1137500	core
ERR1137501	core
ERR1137502	core
ERR1137503	core
ERR1137504	core
ERR1137505	core
ERR1137506	core
ERR1137507	core
ERR1137508	core
ERR1137509	core
ERR1137510	core
ERR1137511	core
ERR1137512	core
ERR1137513	core
ERR1137514	core
ERR1137515	core
ERR1137516	core
ERR1137517	core
ERR1137518	core
ERR1137519	core
ERR1137520	core
ERR1137521	core
ERR1137522	core
ERR1137523	core
ERR1137524	core
ERR1137525	core
ERR1137526	core
ERR1137527	core
ERR1137528	core
ERR1137534	core
ERR1137535	core
ERR1137536	core
ERR1137537	core
ERR1137538	core
ERR1137539	core
ERR1137540	core
ERR1137541	core
ERR1137542	core
ERR1137543	core
ERR1137544	core
ERR1137545	core
ERR1137546	core
ERR1137547	core
ERR1137548	core
ERR1137549	core
ERR1137550	core
ERR1137551	core
ERR1137552	core
ERR1137553	core
ERR1137554	core
ERR1137555	core
ERR1137556	core
ERR1137557	core
ERR1137558	core
ERR1137559	core
ERR1137560	core
ERR1137561	core
ERR1137562	core
ERR1137563	core
ERR1137566	core
ERR1137567	core
ERR1137568	core
ERR1137569	core
ERR1137570	core
ERR1137571	core
ERR1137572	core
ERR1137573	core
ERR1137574	core
ERR1137575	core
ERR1137576	core
ERR1137577	core
ERR1137578	core
ERR1137579	core
ERR1137580	core
ERR1137581	core
ERR1137582	core
ERR1137583	core
ERR1137584	core
ERR1137585	core
ERR1137586	core
ERR1137587	core
ERR1137588	core
ERR1137589	core
ERR1137590	core
ERR1137591	core
ERR1137592	core
ERR1137593	core
ERR1137594	core
ERR1137595	core
ERR1137596	core
ERR1137597	core
ERR1137598	core
ERR1137599	core
ERR1137600	core
ERR1137601	core
ERR1137602	core
ERR1137603	core
ERR1137604	core
ERR1137605	core
ERR1137606	core
ERR1137607	core
ERR1137608	core
ERR1137609	core
ERR1137610	core
ERR1137611	core
ERR1137612	core
ERR1137613	core
ERR1137614	core
ERR1137615	core
ERR1137616	core
ERR1137617	core
ERR1137618	core
ERR1137619	core
ERR1137620	core
ERR1137621	core
ERR1137622	core
ERR1137623	core
ERR1137624	core
ERR1137625	core
ERR1137626	core
ERR1137627	core
ERR1137628	core
ERR1137629	core
ERR1137630	core
ERR1137631	core
ERR1137632	core
ERR1137633	core
ERR1137634	core
ERR1137635	core
ERR1137636	core
ERR1137637	core
ERR1137639	core
ERR1137640	core
ERR1137641	core
ERR1137642	core
ERR1137643	core
ERR1137644	core
ERR1137645	core
ERR1137646	core
ERR1137647	core
ERR1137648	core
ERR1137649	core
ERR1137650	core
ERR1137651	core
ERR1137652	core
ERR1137653	core
ERR1137654	core
ERR1137655	core
ERR1137656	core
ERR1137657	core
ERR1137658	core
ERR1137659	core
ERR1137660	core
ERR1137661	core
ERR1137662	core
ERR1137663	core
ERR1137664	core
ERR1137665	core
ERR1137666	core
ERR1137667	core
ERR1137668	core
ERR1137669	core
ERR1137670	core
ERR1137671	core
ERR1137672	core
ERR1137673	core
ERR1137674	core
